Image_File,Modality,Bits_Stored,Original_Size_Bytes,Metadata_Size_Bytes,Message_Size_Bits,Beta,Codec,Percentile,PSNR_dB,SSIM,MSE,Restored_MSE,Final_Bin_Size_Bytes,Bpp,CR,Encoding_Speed_ms_MB,Decoding_Speed_ms_MB,Total_Encoding_Time_s,Decoding_Time_s,Reversibility_Check,Reversibility_Message,Modality_Label
000.dcm,CT,12,526028,4767,38136,0.1,jxl,90,44.587741263218554,0.9954245154557464,3.477169597065037e-05,0.0,150976,4.607421875,3.484182916490038,239.94445162614917,19.006592804945743,0.12037038803100586,0.009534835815429688,True,True,CT
000.dcm,CT,12,526028,4767,38136,0.2,jxl,90,44.587741263218554,0.9954245154557464,3.477169597065037e-05,0.0,150976,4.607421875,3.484182916490038,184.69168941577254,18.01900279072597,0.0926523208618164,0.00903940200805664,True,True,CT
000.dcm,CT,12,526028,4767,38136,0.3,jxl,90,29.653690202851433,0.9830721725336885,0.0010830062918457846,0.0,152428,4.6517333984375,3.4509932558322616,213.53426053365982,20.573049343380962,0.10712146759033203,0.010320663452148438,True,True,CT
000.dcm,CT,12,526028,4767,38136,0.4,jxl,90,29.653690202851433,0.9830721725336885,0.0010830062918457846,0.0,152428,4.6517333984375,3.4509932558322616,197.30983901997612,19.889625647303944,0.09898233413696289,0.00997781753540039,True,True,CT
000.dcm,CT,12,526028,4767,38136,0.5,jxl,90,29.653690202851433,0.9830721725336885,0.0010830062918457846,0.0,152428,4.6517333984375,3.4509932558322616,187.93486278296973,18.373546655311124,0.09427928924560547,0.009217262268066406,True,True,CT
000.dcm,CT,12,526028,4767,38136,0.6,jxl,90,28.003853916302674,0.9621692687501179,0.0015834873868067682,0.0,154687,4.720672607421875,3.400596042330642,213.07563475708517,20.65146722227714,0.10689139366149902,0.010360002517700195,True,True,CT
000.dcm,CT,12,526028,4767,38136,0.7,jxl,90,28.003853916302674,0.9621692687501179,0.0015834873868067682,0.0,154687,4.720672607421875,3.400596042330642,228.8276479579034,24.973955759009026,0.11479353904724121,0.012528419494628906,True,True,CT
000.dcm,CT,12,526028,4767,38136,0.8,jxl,90,28.003853916302674,0.9621692687501179,0.0015834873868067682,0.0,154687,4.720672607421875,3.400596042330642,227.09009786551286,19.404385317891823,0.1139218807220459,0.009734392166137695,True,True,CT
000.dcm,CT,12,526028,4767,38136,0.9,jxl,90,26.51218582048374,0.939712840496944,0.0022324483403696033,0.0,156301,4.769927978515625,3.3654807070972033,233.75751861117658,19.11780361501669,0.11726665496826172,0.009590625762939453,True,True,CT
000.dcm,DX,12,13266236,9766,78128,0.1,jxl,90,75.24913203727392,0.9999779402501032,2.985979324585374e-08,0.0,5479359,6.610418055308407,2.4211291868264153,56.52520805449262,12.62560457992757,0.7151381969451904,0.15973496437072754,True,True,DX
000.dcm,DX,12,13266236,9766,78128,0.2,jxl,90,70.01553553717444,0.9999266713363325,9.964292008895708e-08,0.0,5480495,6.611788550454067,2.4206273338448443,60.77294644841235,12.391438686904108,0.7688791751861572,0.15677237510681152,True,True,DX
000.dcm,DX,12,13266236,9766,78128,0.3,jxl,90,64.72661434964607,0.9997580469212102,3.367740075978852e-07,0.0,5483150,6.614991600288334,2.4194552401448073,55.27323273911304,11.830484547387819,0.699298620223999,0.1496753692626953,True,True,DX
000.dcm,DX,12,13266236,9766,78128,0.4,jxl,90,64.72661434964607,0.9997580469212102,3.367740075978852e-07,0.0,5483150,6.614991600288334,2.4194552401448073,60.060743680422995,11.922598090370169,0.7598686218261719,0.15084075927734375,True,True,DX
000.dcm,DX,12,13266236,9766,78128,0.5,jxl,90,59.22240578573353,0.9992427722571097,1.1960777773185903e-06,0.0,5486982,6.619614608561372,2.417765540327998,52.74527379129996,14.128084258413615,0.6673157215118408,0.17874383926391602,True,True,DX
000.dcm,DX,12,13266236,9766,78128,0.6,jxl,90,53.75641176528353,0.9980498904397864,4.210743854451737e-06,0.0,5492650,6.626452607228276,2.415270588877864,66.91274375037501,13.233859249903288,0.8465578556060791,0.16743040084838867,True,True,DX
000.dcm,DX,12,13266236,9766,78128,0.7,jxl,90,47.92137966237534,0.9960235758331831,1.613845790463339e-05,0.0,5500606,6.636050898935031,2.4117771750967076,68.15556047698834,13.109106456420646,0.8622815608978271,0.16585206985473633,True,True,DX
000.dcm,DX,12,13266236,9766,78128,0.8,jxl,90,47.92137966237534,0.9960235758331831,1.613845790463339e-05,0.0,5500606,6.636050898935031,2.4117771750967076,69.51312339083972,15.853969430364423,0.8794569969177246,0.20057916641235352,True,True,DX
000.dcm,DX,12,13266236,9766,78128,0.9,jxl,90,42.014639840592054,0.9934977814477365,6.288340010138079e-05,0.0,5506419,6.643063828760492,2.409231117355944,73.69961607798926,13.197168360339738,0.9324231147766113,0.16696619987487793,True,True,DX
000.dcm,MG,12,17043760,10768,86144,0.1,jxl,90,95.24360851802768,0.9999999053189779,2.9897794205301395e-10,0.0,1761953,1.6544781024639423,9.673220568312548,35.46453364750501,12.232702760423756,0.5764474868774414,0.19883275032043457,True,True,MG
000.dcm,MG,12,17043760,10768,86144,0.2,jxl,90,91.24732258531063,0.9999997282380733,7.503566597842662e-10,0.0,1761924,1.6544508713942307,9.673379782555887,33.90054483283031,11.449527569034062,0.5510261058807373,0.18610286712646484,True,True,MG
000.dcm,MG,12,17043760,10768,86144,0.3,jxl,90,86.77299120977749,0.9999991681951654,2.102329958080463e-09,0.0,1761838,1.6543701171875,9.673851965958278,40.55412362060954,12.259178725821062,0.6591746807098389,0.1992630958557129,True,True,MG
000.dcm,MG,12,17043760,10768,86144,0.4,jxl,90,81.93730764189054,0.9999973982064508,6.4013155460844945e-09,0.0,1762160,1.6546724759615385,9.672084260226086,39.99608947790863,12.149431815514886,0.650104284286499,0.197479248046875,True,True,MG
000.dcm,MG,12,17043760,10768,86144,0.5,jxl,90,76.86591889343885,0.9999914036918063,2.0578234439505805e-08,0.0,1762310,1.6548133263221154,9.67126101537187,40.437394682863406,11.903682051378334,0.6572773456573486,0.19348478317260742,True,True,MG
000.dcm,MG,12,17043760,10768,86144,0.6,jxl,90,76.86591889343885,0.9999914036918063,2.0578234439505805e-08,0.0,1762310,1.6548133263221154,9.67126101537187,38.95793827183673,12.780630565086577,0.6332299709320068,0.20773887634277344,True,True,MG
000.dcm,MG,12,17043760,10768,86144,0.7,jxl,90,76.86591889343885,0.9999914036918063,2.0578234439505805e-08,0.0,1762310,1.6548133263221154,9.67126101537187,38.94486897257413,12.475196200838313,0.6330175399780273,0.2027742862701416,True,True,MG
000.dcm,MG,12,17043760,10768,86144,0.8,jxl,90,71.61947295557273,0.99997130310681,6.887358738232246e-08,0.0,1762322,1.6548245943509616,9.671195161837622,44.87824282904711,11.66108593408966,0.7294597625732422,0.18954157829284668,True,True,MG
000.dcm,MG,12,17043760,10768,86144,0.9,jxl,90,71.61947295557273,0.99997130310681,6.887358738232246e-08,0.0,1762322,1.6548245943509616,9.671195161837622,41.410052711373545,13.555415589048426,0.6730871200561523,0.22033238410949707,True,True,MG
