| Modality   |   Parameter_Beta | Parameter_Codec   |   CR_Media |   Bpp_Medio |
|:-----------|-----------------:|:------------------|-----------:|------------:|
| dx_16b     |            0.500 | jxl               |      2.981 |       5.429 |
| dx_16b     |            0.500 | jls               |      2.514 |       6.435 |
| dx_16b     |            0.500 | j2k               |      2.466 |       6.562 |
| dx_16b     |            0.500 | png               |      1.725 |       9.363 |
| dx_16b     |            0.800 | jxl               |      2.980 |       5.431 |
| dx_16b     |            0.800 | jls               |      2.513 |       6.436 |
| dx_16b     |            0.800 | j2k               |      2.465 |       6.563 |
| dx_16b     |            0.800 | png               |      1.725 |       9.363 |
| dx_8b      |            0.500 | jxl               |      3.347 |       2.463 |
| dx_8b      |            0.500 | jls               |      3.171 |       2.589 |
| dx_8b      |            0.500 | j2k               |      3.071 |       2.661 |
| dx_8b      |            0.500 | png               |      1.734 |       4.712 |
| dx_8b      |            0.800 | jxl               |      3.339 |       2.469 |
| dx_8b      |            0.800 | jls               |      3.162 |       2.596 |
| dx_8b      |            0.800 | j2k               |      3.063 |       2.668 |
| dx_8b      |            0.800 | png               |      1.733 |       4.715 |
| mr         |            0.500 | jxl               |      9.908 |       2.824 |
| mr         |            0.500 | jls               |      9.284 |       3.940 |
| mr         |            0.500 | j2k               |      8.294 |       4.343 |
| mr         |            0.500 | png               |      5.656 |       5.213 |
| mr         |            0.800 | jls               |     11.025 |       3.610 |
| mr         |            0.800 | jxl               |     10.633 |       2.606 |
| mr         |            0.800 | j2k               |      9.729 |       3.842 |
| mr         |            0.800 | png               |      6.547 |       4.878 |
