Image_File,Modality,Bits_Stored,Shape,Original_Size_Bytes,Metadata_Size_Bytes,Parameter_Beta,Parameter_Codec,Stego_Capacity_Bits,Stego_Image_PSNR_dB,Stego_Image_SSIM,Final_Bin_Size_Bytes,CR,Bpp,Encoding_Time_s,Decoding_Time_s,Reversibility_Check
111.dcm,dx_16b,12,3056x2544,15551806,3013,0.4,jxl,2210800,92.88145187316107,0.9999996421054358,4270553,3.6416375115822235,4.394441083012282,4.229276895523071,2.6764159202575684,True
111.dcm,dx_16b,12,3056x2544,15551806,3013,0.4,j2k,2210800,92.88145187316107,0.9999996421054358,5118566,3.038313074404042,5.267054809180414,2.570108413696289,1.4427919387817383,True
111.dcm,dx_16b,12,3056x2544,15551806,3013,0.4,jls,2210800,92.88145187316107,0.9999996421054358,5020346,3.097755812049608,5.165985462148901,1.5497736930847168,1.2854070663452148,True
111.dcm,dx_16b,12,3056x2544,15551806,3013,0.4,png,2210800,92.88145187316107,0.9999996421054358,7943794,1.9577302734688236,8.174242237149725,1.9705891609191895,0.9713866710662842,True
111.dcm,dx_16b,12,3056x2544,15551806,3013,0.8,jxl,2210800,76.72213677897714,0.9999929281485811,4270144,3.6419863124053897,4.394020217985446,2.943411350250244,3.4649925231933594,True
111.dcm,dx_16b,12,3056x2544,15551806,3013,0.8,j2k,2210800,76.72213677897714,0.9999929281485811,5120913,3.036920564750856,5.269469895287958,2.4607994556427,1.4709584712982178,True
111.dcm,dx_16b,12,3056x2544,15551806,3013,0.8,jls,2210800,76.72213677897714,0.9999929281485811,5021551,3.0970124569082342,5.1672254190128095,0.8440811634063721,1.907433271408081,True
111.dcm,dx_16b,12,3056x2544,15551806,3013,0.8,png,2210800,76.72213677897714,0.9999929281485811,7943479,1.9578079075931338,8.173918099048372,1.4501268863677979,1.7873508930206299,True
000.dcm,dx_16b,12,3056x2544,15551804,3013,0.4,jxl,4332176,89.18097481025605,0.9999994866738467,5718245,2.7196813008186953,5.884130404359709,5.138495445251465,2.6213955879211426,True
000.dcm,dx_16b,12,3056x2544,15551804,3013,0.4,j2k,4332176,89.18097481025605,0.9999994866738467,6875372,2.2619581893168834,7.074825479930192,3.0174765586853027,1.543813943862915,True
000.dcm,dx_16b,12,3056x2544,15551804,3013,0.4,jls,4332176,89.18097481025605,0.9999994866738467,6748044,2.304638796071869,6.943803714313939,1.5110254287719727,1.418703317642212,True
000.dcm,dx_16b,12,3056x2544,15551804,3013,0.4,png,4332176,89.18097481025605,0.9999994866738467,9743496,1.5961215563695001,10.02615331423491,1.6469287872314453,1.2089285850524902,True
000.dcm,dx_16b,12,3056x2544,15551804,3013,0.8,jxl,4332176,71.4311197620192,0.9999871307779223,5719220,2.719217655554429,5.885133688959136,4.609160423278809,2.7963857650756836,True
000.dcm,dx_16b,12,3056x2544,15551804,3013,0.8,j2k,4332176,71.4311197620192,0.9999871307779223,6876332,2.2616423988835908,7.075813329381935,2.8437633514404297,1.5648682117462158,True
000.dcm,dx_16b,12,3056x2544,15551804,3013,0.8,jls,4332176,71.4311197620192,0.9999871307779223,6748554,2.3044646304971406,6.944328509335177,0.9651014804840088,1.7557485103607178,True
000.dcm,dx_16b,12,3056x2544,15551804,3013,0.8,png,4332176,71.4311197620192,0.9999871307779223,9743480,1.5961241773986297,10.026136850077382,1.9298772811889648,1.3193080425262451,True
222.dcm,dx_16b,12,2893x2440,14120730,3010,0.4,jxl,4119056,92.28513554124129,0.9999996472832594,4875602,2.896202356139816,5.525606750041082,3.735633611679077,2.064970016479492,True
222.dcm,dx_16b,12,2893x2440,14120730,3010,0.4,j2k,4119056,92.28513554124129,0.9999996472832594,5976508,2.362705780700034,6.773283165130077,3.51564359664917,1.4159488677978516,True
222.dcm,dx_16b,12,2893x2440,14120730,3010,0.4,jls,4119056,92.28513554124129,0.9999996472832594,5848480,2.4144273383853583,6.628186748114443,1.0981366634368896,1.3128681182861328,True
222.dcm,dx_16b,12,2893x2440,14120730,3010,0.4,png,4119056,92.28513554124129,0.9999996472832594,8641742,1.6340142994317581,9.793840417514295,1.7672252655029297,1.0835793018341064,True
222.dcm,dx_16b,12,2893x2440,14120730,3010,0.8,jxl,4119056,75.8969311373519,0.9999905500064328,4878066,2.8947394315698065,5.5283992452103154,3.4667763710021973,2.664339065551758,True
222.dcm,dx_16b,12,2893x2440,14120730,3010,0.8,j2k,4119056,75.8969311373519,0.9999905500064328,5977775,2.3622050010246287,6.774719078839256,3.680314540863037,1.4922740459442139,True
222.dcm,dx_16b,12,2893x2440,14120730,3010,0.8,jls,4119056,75.8969311373519,0.9999905500064328,5849015,2.4142064945978086,6.628793073161334,0.8646044731140137,1.4742546081542969,True
222.dcm,dx_16b,12,2893x2440,14120730,3010,0.8,png,4119056,75.8969311373519,0.9999905500064328,8641365,1.63408558717286,9.793413156686858,1.4218573570251465,1.601593017578125,True
333.dcm,dx_16b,12,3056x2544,15551820,3012,0.4,jxl,4343360,89.20288827805982,0.9999993613432479,5267095,2.9526370798324315,5.419892612532517,3.633219003677368,2.7100980281829834,True
333.dcm,dx_16b,12,3056x2544,15551820,3012,0.4,j2k,4343360,89.20288827805982,0.9999993613432479,6370557,2.441202551048519,6.55536587474069,2.71384334564209,1.521207332611084,True
333.dcm,dx_16b,12,3056x2544,15551820,3012,0.4,jls,4343360,89.20288827805982,0.9999993613432479,6230015,2.4962732834511634,6.410746773025124,1.1743481159210205,1.5718793869018555,True
333.dcm,dx_16b,12,3056x2544,15551820,3012,0.4,png,4343360,89.20288827805982,0.9999993613432479,9297419,1.6727029297055451,9.567135689354275,1.5085690021514893,1.2811334133148193,True
333.dcm,dx_16b,12,3056x2544,15551820,3012,0.8,jxl,4343360,71.90351754688425,0.999982534092239,5270315,2.950833109595916,5.42320602423524,4.467726230621338,2.85129976272583,True
333.dcm,dx_16b,12,3056x2544,15551820,3012,0.8,j2k,4343360,71.90351754688425,0.999982534092239,6372180,2.440580774554391,6.557035957720044,2.681427001953125,1.6557393074035645,True
