Image_File,Modality,Bits_Stored,Original_Size_Bytes,Metadata_Size_Bytes,Message_Size_Bits,Beta,Codec,Percentile,PSNR_dB,SSIM,MSE,Restored_MSE,Final_Bin_Size_Bytes,Bpp,CR,Encoding_Speed_ms_MB,Decoding_Speed_ms_MB,Total_Encoding_Time_s,Decoding_Time_s,Reversibility_Check,Reversibility_Message
005.dcm,MG,12,17043750,10774,86192,0.2,JPEG XL,90,90.91367025664395,0.9999997655221649,8.102759978347903e-10,0.0,1913223,1.79652099609375,8.908396982474077,41.3837037037037,12.23961862852952,0.6726584434509277,0.1989450454711914,True,True
005.dcm,MG,12,17043750,10774,86192,0.2,JPEG 2000,90,90.91367025664395,0.9999997655221649,8.102759978347903e-10,0.0,2048291,1.9233501727764424,8.320961230606393,25.787224055738907,12.251133113311331,0.41915035247802734,0.19913220405578613,True,True
005.dcm,MG,12,17043750,10774,86192,0.2,JPEG-LS,90,90.91367025664395,0.9999997655221649,8.102759978347903e-10,0.0,2001753,1.87965087890625,8.514412117778766,25.17083975064173,11.721672167216722,0.4091315269470215,0.19052624702453613,True,True
005.dcm,MG,12,17043750,10774,86192,0.8,JPEG XL,90,71.3030447131426,0.9999784495973769,7.407907122422818e-08,0.0,1913835,1.7970956655649037,8.905548283942974,42.55448478181152,12.38016868353502,0.6916885375976562,0.20122957229614258,True,True
005.dcm,MG,12,17043750,10774,86192,0.8,JPEG 2000,90,71.3030447131426,0.9999784495973769,7.407907122422818e-08,0.0,2048651,1.923688213641827,8.319499026432515,38.23111111111111,13.33010634396773,0.6214156150817871,0.21667003631591797,True,True
005.dcm,MG,12,17043750,10774,86192,0.8,JPEG-LS,90,71.3030447131426,0.9999784495973769,7.407907122422818e-08,0.0,2001904,1.8797926682692307,8.513769891063708,33.99819581958196,12.02013934726806,0.5526130199432373,0.19537758827209473,True,True
001.dcm,MG,12,17043800,10971,87768,0.2,JPEG XL,90,91.12279253158447,0.9999998711715877,7.721839079651254e-10,0.0,1624957,1.5258385291466345,10.488769856679285,32.06297891315317,12.039773994062356,0.5211591720581055,0.19569730758666992,True,True
001.dcm,MG,12,17043800,10971,87768,0.2,JPEG 2000,90,91.12279253158447,0.9999998711715877,7.721839079651254e-10,0.0,1792397,1.6830650916466345,9.50894249432464,27.457785235686877,12.725360541663244,0.4463052749633789,0.20684099197387695,True,True
001.dcm,MG,12,17043800,10971,87768,0.2,JPEG-LS,90,91.12279253158447,0.9999998711715877,7.721839079651254e-10,0.0,1754050,1.6470571664663463,9.7168267723269,26.17398995529166,11.22245332613619,0.42543816566467285,0.18241238594055176,True,True
001.dcm,MG,12,17043800,10971,87768,0.8,JPEG XL,90,71.55782418503291,0.9999875765720676,6.985823060924755e-08,0.0,1627021,1.527776630108173,10.475464053629302,43.28188256140063,11.758704044872623,0.7035138607025146,0.19112873077392578,True,True
001.dcm,MG,12,17043800,10971,87768,0.8,JPEG 2000,90,71.55782418503291,0.9999875765720676,6.985823060924755e-08,0.0,1792499,1.683160869891827,9.508401399387113,36.00378143371783,12.642148464544292,0.5852138996124268,0.2054884433746338,True,True
001.dcm,MG,12,17043800,10971,87768,0.8,JPEG-LS,90,71.55782418503291,0.9999875765720676,6.985823060924755e-08,0.0,1754143,1.6471444936899038,9.716311611995145,34.71601110081085,11.773841514216313,0.5642821788787842,0.1913747787475586,True,True
004.dcm,MG,12,17043738,10762,86096,0.2,JPEG XL,90,91.26115925276525,0.999999893314414,7.47969819913496e-10,0.0,2068092,1.941943359375,8.241286171021406,36.18215968820924,11.904562837095947,0.588111162185669,0.19349884986877441,True,True
004.dcm,MG,12,17043738,10762,86096,0.2,JPEG 2000,90,91.26115925276525,0.999999893314414,7.47969819913496e-10,0.0,2278592,2.1396033653846156,7.4799428770047465,30.232877905069884,14.015822116017038,0.491410493850708,0.2278156280517578,True,True
004.dcm,MG,12,17043738,10762,86096,0.2,JPEG-LS,90,91.26115925276525,0.999999893314414,7.47969819913496e-10,0.0,2216276,2.0810884915865384,7.690259696896957,26.49989397865656,11.73991292285765,0.43073391914367676,0.19082260131835938,True,True
004.dcm,MG,12,17043738,10762,86096,0.8,JPEG XL,90,71.64534249464013,0.9999895790612593,6.846454882405796e-08,0.0,2070794,1.9444805438701922,8.230532829436438,44.11906296611694,12.39758848675097,0.7171189785003662,0.20151257514953613,True,True
004.dcm,MG,12,17043738,10762,86096,0.8,JPEG 2000,90,71.64534249464013,0.9999895790612593,6.846454882405796e-08,0.0,2279378,2.1403414212740386,7.47736356146282,39.556155463079754,12.619092126386828,0.6429526805877686,0.20511293411254883,True,True
004.dcm,MG,12,17043738,10762,86096,0.8,JPEG-LS,90,71.64534249464013,0.9999895790612593,6.846454882405796e-08,0.0,2216419,2.0812227689302887,7.689763532978196,33.68647769638327,12.213429941248803,0.5475459098815918,0.19851922988891602,True,True
008.dcm,MG,12,17043900,11030,88240,0.2,JPEG XL,90,91.10077877855682,0.9999998724554938,7.761079321730157e-10,0.0,2525670,2.3716102013221154,6.748268776205918,36.36300963981248,13.185934557231619,0.5910563468933105,0.21432852745056152,True,True
008.dcm,MG,12,17043900,11030,88240,0.2,JPEG 2000,90,91.10077877855682,0.9999998724554938,7.761079321730157e-10,0.0,2774263,2.6050396259014423,6.143577591598201,29.778014421581915,13.447509079494717,0.4840216636657715,0.2185802459716797,True,True
008.dcm,MG,12,17043900,11030,88240,0.2,JPEG-LS,90,91.10077877855682,0.9999998724554938,7.761079321730157e-10,0.0,2709740,2.544452373798077,6.289865448345598,28.546679457166494,11.93180551399621,0.4640071392059326,0.19394350051879883,True,True
008.dcm,MG,12,17043900,11030,88240,0.8,JPEG XL,90,71.48039524456762,0.9999877907466107,7.111487901768837e-08,0.0,2525130,2.3711031400240383,6.749711896021195,45.50956647246229,12.467510370279102,0.7397274971008301,0.2026510238647461,True,True
008.dcm,MG,12,17043900,11030,88240,0.8,JPEG 2000,90,71.48039524456762,0.9999877907466107,7.111487901768837e-08,0.0,2774850,2.6055908203125,6.142277960970863,41.045770040894396,14.932952551939403,0.6671714782714844,0.24272513389587402,True,True
008.dcm,MG,12,17043900,11030,88240,0.8,JPEG-LS,90,71.48039524456762,0.9999877907466107,7.111487901768837e-08,0.0,2709832,2.5445387620192306,6.289651904619918,36.34866433152037,14.268726641203012,0.5908231735229492,0.23192858695983887,True,True
006.dcm,MG,12,17043792,10963,87704,0.2,JPEG XL,90,91.0675282106793,0.9999998904852312,7.820727950843836e-10,0.0,2384023,2.2386033278245194,7.149172638015656,30.782894440392138,12.577981472667584,0.500352144241333,0.20444536209106445,True,True
006.dcm,MG,12,17043792,10963,87704,0.2,JPEG 2000,90,91.0675282106793,0.9999998904852312,7.820727950843836e-10,0.0,2613714,2.454283728966346,6.520909326728173,32.926944895830694,16.21172389336833,0.5352020263671875,0.26350903511047363,True,True
006.dcm,MG,12,17043792,10963,87704,0.2,JPEG-LS,90,91.0675282106793,0.9999998904852312,7.820727950843836e-10,0.0,2547876,2.392461688701923,6.6894118866067265,28.92842156252552,13.211613941310713,0.47020912170410156,0.21474456787109375,True,True
006.dcm,MG,12,17043792,10963,87704,0.8,JPEG XL,90,71.51832313531507,0.9999891445711018,7.049652122085024e-08,0.0,2381821,2.23653564453125,7.155782067586103,43.712220848506014,13.674553761275659,0.7105083465576172,0.22226929664611816,True,True
006.dcm,MG,12,17043792,10963,87704,0.8,JPEG 2000,90,71.51832313531507,0.9999891445711018,7.049652122085024e-08,0.0,2613827,2.4543898362379806,6.520627417193257,36.03113966657185,13.52520319421875,0.5856583118438721,0.21984171867370605,True,True
006.dcm,MG,12,17043792,10963,87704,0.8,JPEG-LS,90,71.51832313531507,0.9999891445711018,7.049652122085024e-08,0.0,2547904,2.3924879807692307,6.689338373816282,35.630333906914615,12.650749903542591,0.5791435241699219,0.2056281566619873,True,True
002.dcm,MG,12,17043884,11081,88648,0.2,JPEG XL,90,91.04541011167326,0.9999998806939744,7.86065958096481e-10,0.0,2786110,2.6161639873798075,6.117448341953477,36.90929543993611,13.446949650678214,0.5999352931976318,0.21857094764709473,True,True
002.dcm,MG,12,17043884,11081,88648,0.2,JPEG 2000,90,91.04541011167326,0.9999998806939744,7.86065958096481e-10,0.0,3064180,2.8772723858173075,5.562298559484104,31.2230181805978,14.582914316947944,0.5075087547302246,0.23703527450561523,True,True
002.dcm,MG,12,17043884,11081,88648,0.2,JPEG-LS,90,91.04541011167326,0.9999998806939744,7.86065958096481e-10,0.0,2980534,2.7987285907451924,5.718399454594378,28.78476819016135,12.734259984402616,0.467876672744751,0.206986665725708,True,True
002.dcm,MG,12,17043884,11081,88648,0.8,JPEG XL,90,71.54011741602046,0.9999887512196586,7.014363341043412e-08,0.0,2785781,2.615855055588942,6.118170810986219,46.10799099547967,12.769360551855433,0.7494537830352783,0.20755720138549805,True,True
002.dcm,MG,12,17043884,11081,88648,0.8,JPEG 2000,90,71.54011741602046,0.9999887512196586,7.014363341043412e-08,0.0,3064214,2.8773043118990387,5.562236841160572,41.140945338515564,13.488269457830151,0.6687178611755371,0.21924257278442383,True,True
002.dcm,MG,12,17043884,11081,88648,0.8,JPEG-LS,90,71.54011741602046,0.9999887512196586,7.014363341043412e-08,0.0,2980641,2.798829064002404,5.718194173669355,36.73069765084062,13.486934668177746,0.5970323085784912,0.21922087669372559,True,True
009.dcm,MG,12,17043784,10848,86784,0.2,JPEG XL,90,91.21223783126824,0.9999998042185481,7.564430148573086e-10,0.0,2206687,2.0720843975360577,7.723698014263011,34.864455569256215,12.393829328041237,0.5666944980621338,0.20145201683044434,True,True
009.dcm,MG,12,17043784,10848,86784,0.2,JPEG 2000,90,91.21223783126824,0.9999998042185481,7.564430148573086e-10,0.0,2370189,2.2256131685697116,7.190896590946966,31.203047398394627,12.949633133111755,0.5071811676025391,0.21048617362976074,True,True
009.dcm,MG,12,17043784,10848,86784,0.2,JPEG-LS,90,91.21223783126824,0.9999998042185481,7.564430148573086e-10,0.0,2312119,2.1710852989783653,7.37149947731929,28.235821927806644,12.279124753047798,0.4589512348175049,0.19958758354187012,True,True
009.dcm,MG,12,17043784,10848,86784,0.8,JPEG XL,90,71.58125276580178,0.9999813755538562,6.94823859797278e-08,0.0,2208033,2.0733482947716344,7.718989707128471,44.180359244167846,12.675412924735493,0.7181172370910645,0.20602893829345703,True,True
009.dcm,MG,12,17043784,10848,86784,0.8,JPEG 2000,90,71.58125276580178,0.9999813755538562,6.94823859797278e-08,0.0,2370198,2.225621619591346,7.190869286025893,39.156768238790164,13.426111830565326,0.6364626884460449,0.2182309627532959,True,True
009.dcm,MG,12,17043784,10848,86784,0.8,JPEG-LS,90,71.58125276580178,0.9999813755538562,6.94823859797278e-08,0.0,2312283,2.171239295372596,7.370976649484514,36.884737567666896,12.73990857898692,0.5995326042175293,0.2070772647857666,True,True
000.dcm,MG,12,17043760,10768,86144,0.2,JPEG XL,90,91.24732258531063,0.9999997282380733,7.503566597842662e-10,0.0,1761924,1.6544508713942307,9.673379782555887,34.72879517195736,12.25133127901355,0.5644886493682861,0.19913554191589355,True,True
000.dcm,MG,12,17043760,10768,86144,0.2,JPEG 2000,90,91.24732258531063,0.9999997282380733,7.503566597842662e-10,0.0,1856580,1.7433330829326923,9.180191534972908,30.785563162119157,12.2478255971687,0.5003945827484131,0.19907855987548828,True,True
000.dcm,MG,12,17043760,10768,86144,0.2,JPEG-LS,90,91.24732258531063,0.9999997282380733,7.503566597842662e-10,0.0,1817261,1.7064124474158653,9.378817902326633,27.05340546921571,12.099926894065629,0.4397313594818115,0.19667458534240723,True,True
000.dcm,MG,12,17043760,10768,86144,0.8,JPEG XL,90,71.61947295557273,0.99997130310681,6.887358738232246e-08,0.0,1762322,1.6548245943509616,9.671195161837622,43.41040357292053,12.66121736048853,0.7056012153625488,0.20579791069030762,True,True
000.dcm,MG,12,17043760,10768,86144,0.8,JPEG 2000,90,71.61947295557273,0.99997130310681,6.887358738232246e-08,0.0,1857436,1.7441368689903847,9.175960840642693,37.128280379446785,12.352013288147687,0.6034903526306152,0.20077204704284668,True,True
000.dcm,MG,12,17043760,10768,86144,0.8,JPEG-LS,90,71.61947295557273,0.99997130310681,6.887358738232246e-08,0.0,1817509,1.7066453200120193,9.377538157995366,35.62686578548396,11.646740507963031,0.5790860652923584,0.18930840492248535,True,True
007.dcm,MG,12,17043630,10544,84352,0.2,JPEG XL,90,91.29862927724844,0.9999998916751541,7.415442509945311e-10,0.0,1772064,1.6639723557692307,9.617953979088792,34.20286640815366,12.19169566577073,0.5559358596801758,0.198164701461792,True,True
007.dcm,MG,12,17043630,10544,84352,0.2,JPEG 2000,90,91.29862927724844,0.9999998916751541,7.415442509945311e-10,0.0,1945216,1.8265625,8.761818738895835,28.367357775309603,12.465815674243105,0.46108508110046387,0.202620267868042,True,True
007.dcm,MG,12,17043630,10544,84352,0.2,JPEG-LS,90,91.29862927724844,0.9999998916751541,7.415442509945311e-10,0.0,1893604,1.7780987079326922,9.000630543661716,27.197609898830237,10.93188481561733,0.44207191467285156,0.1776876449584961,True,True
007.dcm,MG,12,17043630,10544,84352,0.8,JPEG XL,90,71.74080153456705,0.9999901633212784,6.697609868177285e-08,0.0,1772522,1.6644024188701922,9.615468806593091,43.47220926527976,12.448052439533127,0.7066004276275635,0.20233154296875,True,True
007.dcm,MG,12,17043630,10544,84352,0.8,JPEG 2000,90,71.74080153456705,0.9999901633212784,6.697609868177285e-08,0.0,1945315,1.8266554612379808,8.76137283678993,36.93793516991392,12.444986778051389,0.6003918647766113,0.20228171348571777,True,True
007.dcm,MG,12,17043630,10544,84352,0.8,JPEG-LS,90,71.74080153456705,0.9999901633212784,6.697609868177285e-08,0.0,1893638,1.7781306340144232,9.000468938625017,32.901397765616835,11.281414229245765,0.5347816944122314,0.18336892127990723,True,True
003.dcm,MG,12,17043810,10981,87848,0.2,JPEG XL,90,91.09220945241378,0.9999998198167636,7.776408293334222e-10,0.0,1583465,1.48687744140625,10.763616499259536,34.42202770389954,12.361261947886065,0.5595040321350098,0.20092296600341797,True,True
003.dcm,MG,12,17043810,10981,87848,0.2,JPEG 2000,90,91.09220945241378,0.9999998198167636,7.776408293334222e-10,0.0,1721347,1.6163489708533654,9.90143765318672,29.300094873153363,12.09342277342918,0.47625088691711426,0.19656944274902344,True,True
003.dcm,MG,12,17043810,10981,87848,0.2,JPEG-LS,90,91.09220945241378,0.9999998198167636,7.776408293334222e-10,0.0,1679449,1.5770066481370193,10.148453451102117,25.65542856908168,11.550909098376478,0.4170095920562744,0.18775129318237305,True,True
003.dcm,MG,12,17043810,10981,87848,0.8,JPEG XL,90,71.55969778880176,0.999982972587797,6.982809934565723e-08,0.0,1583596,1.4870004507211538,10.762726099333415,43.59826236035253,12.413524323493398,0.7086567878723145,0.20177245140075684,True,True
003.dcm,MG,12,17043810,10981,87848,0.8,JPEG 2000,90,71.55969778880176,0.999982972587797,6.982809934565723e-08,0.0,1721476,1.6164701021634615,9.900695682077473,37.21997898357233,12.860754138892654,0.6049826145172119,0.20904183387756348,True,True
003.dcm,MG,12,17043810,10981,87848,0.8,JPEG-LS,90,71.55969778880176,0.999982972587797,6.982809934565723e-08,0.0,1679467,1.5770235501802885,10.14834468316436,33.916433590846175,10.717498024209375,0.551285982131958,0.17420482635498047,True,True
